SchoolName,Religion,Level,YearTerm,Total
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,P1,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,P2,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,P3,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,P4,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,P5,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,P6,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,M2,2565/1,3
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,M3,2565/1,2
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,M4,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,M5,2565/1,1
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คริสต์,M6,2565/1,4
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,P1,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,P2,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,P3,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,P4,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,P5,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,P6,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,M2,2565/1,854
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,M3,2565/1,857
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,M4,2565/1,819
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,M5,2565/1,790
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,พุทธ,M6,2565/1,822
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,P1,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,P2,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,P3,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,P4,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,P5,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,P6,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,M2,2565/1,8
